"CountryId","CountryName"
1,"United Kingdom"
2,"Iceland"
3,"Finland"
4,"Italy"
5,"Norway"
6,"Unspecified"
7,"Bahrain"
8,"Spain"
9,"Portugal"
10,"Switzerland"
11,"Austria"
12,"Cyprus"
13,"Belgium"
14,"Denmark"
15,"Netherlands"
16,"Australia"
17,"RSA"
18,"Germany"
19,"France"
20,"USA"
21,"Thailand"
22,"Sweden"
23,"Greece"
24,"Israel"
25,"Saudi Arabia"
26,"Poland"
27,"United Arab Emirates"
28,"Singapore"
29,"EIRE"
30,"Brazil"
31,"Japan"
32,"Lebanon"
33,"Korea"
34,"Czech Republic"
35,"Channel Islands"
36,"European Community"
37,"Lithuania"
38,"Canada"
39,"Malta"
40,"Nigeria"
41,"West Indies"
