"InvoiceId","CustomerId","SellerId","ExpeditionId","InvoiceDate","InvoiceStatus"
"489434","13085",1,1,"2009-12-01 07:45:00","Paid"
"489435","13085",1,2,"2009-12-01 07:46:00","Paid"
"489436","13078",1,1,"2009-12-01 09:06:00","Paid"
"489437","15362",2,1,"2009-12-01 09:08:00","Paid"
"489438","18102",3,4,"2009-12-01 09:24:00","Paid"
"489439","12682",1,3,"2009-12-01 09:28:00","Paid"
"489440","18087",1,1,"2009-12-01 09:43:00","Paid"
"489441","18087",3,2,"2009-12-01 09:44:00","Paid"
"489442","13635",2,2,"2009-12-01 09:46:00","Paid"
"489443","14110",1,4,"2009-12-01 09:50:00","Paid"
"489444","12636",1,4,"2009-12-01 09:55:00","Paid"
"489445","17519",1,5,"2009-12-01 09:57:00","Paid"
"489446","13758",1,2,"2009-12-01 10:06:00","Paid"
"489447","12362",1,1,"2009-12-01 10:10:00","Paid"
"489448","15413",2,1,"2009-12-01 10:18:00","Paid"
"489450","16321",1,5,"2009-12-01 10:36:00","Paid"
"489460","16167",1,5,"2009-12-01 10:46:00","Paid"
"489461","17865",2,2,"2009-12-01 10:49:00","Paid"
"489462","17592",3,4,"2009-12-01 10:49:00","Paid"
"489465","13767",2,2,"2009-12-01 10:52:00","Paid"
"489488","17238",3,1,"2009-12-01 10:59:00","Paid"
"489505","15712",1,5,"2009-12-01 11:17:00","Paid"
"489514","15311",1,3,"2009-12-01 11:21:00","Paid"
"489517","16329",1,5,"2009-12-01 11:34:00","Paid"
"489519","17700",1,4,"2009-12-01 11:37:00","Paid"
"489520","14911",3,1,"2009-12-01 11:41:00","Paid"
"489522","15998",2,2,"2009-12-01 11:45:00","Paid"
"489523","12931",2,2,"2009-12-01 11:46:00","Paid"
"489525","Guest",2,1,"2009-12-01 11:49:00","Paid"
"489526","12533",3,4,"2009-12-01 11:50:00","Paid"
"489529","17984",3,4,"2009-12-01 11:51:00","Paid"
"489531","14871",3,4,"2009-12-01 11:57:00","Paid"
"489532","13394",1,1,"2009-12-01 11:58:00","Paid"
"489533","16011",3,1,"2009-12-01 12:02:00","Paid"
"489536","16393",2,5,"2009-12-01 12:13:00","Paid"
"489537","14040",1,3,"2009-12-01 12:14:00","Paid"
"489539","15061",2,2,"2009-12-01 12:18:00","Paid"
"489540","12913",1,1,"2009-12-01 12:18:00","Paid"
"489542","15061",2,5,"2009-12-01 12:19:00","Paid"
"489544","14341",1,5,"2009-12-01 12:20:00","Paid"
"489545","17804",1,5,"2009-12-01 12:22:00","Paid"
"489546","14156",2,1,"2009-12-01 12:30:00","Paid"
"489547","13599",1,2,"2009-12-01 12:30:00","Paid"
"489548","Guest",3,5,"2009-12-01 12:32:00","Paid"
"489550","14156",3,1,"2009-12-01 12:33:00","Paid"
