"ProductId","CategoryId","ProductName","ProductDescription","ProductPrice","ProductQuantity"
"10002",1,"INFLATABLE POLITICAL GLOBE ","INFLATABLE POLITICAL GLOBE ","0.85",100000
"10002R",1,"ROBOT PENCIL SHARPNER","ROBOT PENCIL SHARPNER","5.06",100000
"10080",1,"GROOVY CACTUS INFLATABLE","GROOVY CACTUS INFLATABLE","0.39",100000
"10109",1,"BENDY COLOUR PENCILS","BENDY COLOUR PENCILS","0.42",100000
"10120",1,"DOGGY RUBBER","DOGGY RUBBER","0.21",100000
"10123C",1,"HEARTS WRAPPING TAPE ","HEARTS WRAPPING TAPE ","0.65",100000
"10123G",1,"ARMY CAMO WRAPPING TAPE","ARMY CAMO WRAPPING TAPE","0.65",100000
"10124A",1,"SPOTS ON RED BOOKCOVER TAPE","SPOTS ON RED BOOKCOVER TAPE","0.42",100000
"10124G",1,"ARMY CAMO BOOKCOVER TAPE","ARMY CAMO BOOKCOVER TAPE","0.42",100000
"10125",1,"MINI FUNKY DESIGN TAPES","MINI FUNKY DESIGN TAPES","0.85",100000
"10133",1,"COLOURING PENCILS BROWN TUBE","COLOURING PENCILS BROWN TUBE","0.42",100000
"10134",1,"COLOURING PENCILS BROWN TUBE","COLOURING PENCILS BROWN TUBE","1.25",100000
"10135",1,"COLOURING PENCILS BROWN TUBE","COLOURING PENCILS BROWN TUBE","1.25",100000
"10138",1,"ASSORTED COLOUR JUMBO PEN","ASSORTED COLOUR JUMBO PEN","0.42",100000
"11001",1,"ASSTD DESIGN RACING CAR PEN","ASSTD DESIGN RACING CAR PEN","1.69",100000
"15030",1,"FAN BLACK FRAME ","FAN BLACK FRAME ","0.29",100000
"15034",1,"PAPER POCKET TRAVELING FAN ","PAPER POCKET TRAVELING FAN ","0.83",100000
"15036",1,"ASSORTED COLOURS SILK FAN","ASSORTED COLOURS SILK FAN","0.83",100000
"15039",1,"SANDALWOOD FAN","SANDALWOOD FAN","1.63",100000
"15044A",1,"PINK PAPER PARASOL ","PINK PAPER PARASOL ","5.79",100000
"15044B",1,"BLUE PAPER PARASOL ","BLUE PAPER PARASOL ","2.95",100000
"15044C",1,"PURPLE PAPER PARASOL","PURPLE PAPER PARASOL","2.95",100000
"15044D",1,"RED PAPER PARASOL","RED PAPER PARASOL","5.79",100000
"15056BL",1,"EDWARDIAN PARASOL BLACK","EDWARDIAN PARASOL BLACK","5.95",100000
"15056N",1,"EDWARDIAN PARASOL NATURAL","EDWARDIAN PARASOL NATURAL","12.46",100000
"15056P",1,"EDWARDIAN PARASOL PINK","EDWARDIAN PARASOL PINK","5.95",100000
"15058A",1,"BLUE POLKADOT GARDEN PARASOL","BLUE POLKADOT GARDEN PARASOL","7.95",100000
"15058B",1,"PINK POLKADOT GARDEN PARASOL","PINK POLKADOT GARDEN PARASOL","7.95",100000
"15058C",1,"ICE CREAM DESIGN GARDEN PARASOL","ICE CREAM DESIGN GARDEN PARASOL","10.79",100000
"15059A",1,"ENGLISH ROSE EDWARDIAN PARASOL","ENGLISH ROSE EDWARDIAN PARASOL","3.00",100000
"15060B",1,"FAIRY CAKE DESIGN UMBRELLA","FAIRY CAKE DESIGN UMBRELLA","8.29",100000
"16008",1,"SMALL FOLDING SCISSOR(POINTED EDGE)","SMALL FOLDING SCISSOR(POINTED EDGE)","0.12",100000
"16010",1,"FOLDING CAMPING SCISSOR W/KNIF & S","FOLDING CAMPING SCISSOR W/KNIF & S","0.12",100000
"16011",1,"ANIMAL STICKERS","ANIMAL STICKERS","0.21",100000
